"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Nov-2022","EQ","416.66","420.00","415.56","417.19","418.50","418.94","418.91","437.69","322.03","2,38,408","9,98,71,710.71","560"
"02-Nov-2022","EQ","437.69","437.69","416.65","419.12","417.29","417.19","419.14","437.69","322.03","22,833","95,70,255.67","561"
"01-Nov-2022","EQ","425.67","425.67","418.14","418.65","419.13","419.12","420.53","425.67","322.03","3,41,214","14,34,90,325.23","883"
"31-Oct-2022","EQ","422.97","422.97","417.31","415.72","418.57","418.65","418.13","424.29","322.03","1,71,086","7,15,36,962.78","595"
"28-Oct-2022","EQ","418.70","421.93","414.71","418.67","415.65","415.72","419.37","429.70","322.03","29,744","1,24,73,769.92","368"
"27-Oct-2022","EQ","420.00","420.54","418.24","417.11","418.70","418.67","419.76","429.70","322.03","55,005","2,30,88,953.61","450"
"25-Oct-2022","EQ","420.00","420.15","415.77","418.95","415.91","417.11","417.64","429.70","322.03","1,08,661","4,53,81,334.90","1,184"
"24-Oct-2022","EQ","416.50","419.99","416.50","416.21","419.24","418.95","418.57","429.70","322.03","5,132","21,48,091.26","207"
"21-Oct-2022","EQ","407.82","417.16","407.82","407.82","417.16","416.21","414.67","429.70","322.03","73,750","3,05,81,680.53","1,576"
"20-Oct-2022","EQ","398.02","409.13","398.02","410.18","407.50","407.82","407.01","429.70","322.03","81,531","3,31,84,332.07","1,750"
"19-Oct-2022","EQ","411.01","413.27","409.29","410.11","410.25","410.18","412.22","429.70","322.03","59,934","2,47,06,081.98","401"
"18-Oct-2022","EQ","418.20","418.20","408.51","406.57","411.00","410.11","409.95","429.70","322.03","2,12,509","8,71,17,174.43","3,665"
"17-Oct-2022","EQ","404.67","407.82","398.12","399.57","407.65","406.57","404.84","429.70","322.03","1,54,285","6,24,60,629.79","3,174"
"14-Oct-2022","EQ","400.71","402.13","398.01","393.35","400.24","399.57","400.75","429.70","322.03","78,322","3,13,87,373.15","506"
"13-Oct-2022","EQ","398.99","398.99","391.83","397.45","394.00","393.35","393.95","429.70","322.03","1,56,518","6,16,60,343.45","555"
"12-Oct-2022","EQ","398.99","398.99","393.31","393.95","397.62","397.45","395.35","429.70","322.03","24,483","96,79,420.75","438"
"11-Oct-2022","EQ","417.19","417.19","393.10","400.13","394.15","393.95","397.03","429.70","322.03","50,663","2,01,14,915.13","1,022"
"10-Oct-2022","EQ","394.97","410.00","392.51","397.02","400.88","400.13","398.70","429.70","322.03","1,62,987","6,49,82,514.53","638"
"07-Oct-2022","EQ","424.29","424.29","393.60","400.29","398.70","397.02","396.16","429.70","322.03","19,788","78,39,208.25","502"
