"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Aug-2022","EQ","184.30","188.13","184.30","187.50","185.96","185.98","186.79","222.68","157.66","1,724","3,22,030.67","85"
"18-Aug-2022","EQ","188.00","188.00","184.02","187.07","188.00","187.50","186.29","222.68","157.66","19,295","35,94,425.33","94"
"17-Aug-2022","EQ","188.30","188.30","183.20","185.88","187.78","187.07","186.06","222.68","157.66","14,815","27,56,419.33","98"
"16-Aug-2022","EQ","189.60","189.60","182.15","184.80","186.00","185.88","183.98","222.68","157.66","12,653","23,27,904.79","140"
"12-Aug-2022","EQ","185.00","186.00","182.03","184.28","185.00","184.80","184.77","222.68","157.66","1,982","3,66,217.21","86"
"11-Aug-2022","EQ","182.01","185.00","182.01","182.88","183.91","184.28","184.24","222.68","157.66","2,343","4,31,679.12","93"
"10-Aug-2022","EQ","184.40","184.40","179.90","182.78","182.65","182.88","182.12","222.68","157.66","2,227","4,05,580.27","89"
"08-Aug-2022","EQ","181.65","184.00","179.90","181.65","182.99","182.78","181.64","222.68","157.66","11,076","20,11,873.95","80"
"05-Aug-2022","EQ","184.48","184.48","179.90","181.02","181.04","181.65","181.85","222.68","157.66","966","1,75,664.19","56"
"04-Aug-2022","EQ","178.55","183.00","178.55","181.00","180.75","181.02","180.82","222.68","157.66","1,319","2,38,500.76","92"
"03-Aug-2022","EQ","180.65","184.65","179.68","180.60","181.99","181.00","181.10","222.68","157.66","1,542","2,79,260.17","80"
"02-Aug-2022","EQ","181.00","184.20","177.30","180.89","180.60","180.60","180.26","222.68","157.66","1,462","2,63,543.29","87"
"01-Aug-2022","EQ","176.25","181.03","176.25","178.75","180.47","180.89","179.86","222.68","157.66","3,023","5,43,711.00","142"
